,marketCap
CTAS,46222270464
CTBI,792191872
CTEK,21090018
CTG,131663840
CTHR,92992096
CTIB,8045351
CTIC,243466528
CTK,67185768
CTLP,693335168
CTLT,22178527232
CTMX,467104736
CTO,333681024
CTOS,2461047808
CTR,196256800
CTRA,396974240
CTRE,1995708928
CTRM,186208496
CTRN,836274944
CTS,1234091520
CTSH,43395457024
CTSO,265980496
CTT,417148544
CTVA,35970527232
CTXR,241130160
CTXS,10921729024
CUBA,37538000
CUBE,10793250816
CUBI,1876285440
CUE,549027008
CUEN,37063328
CUK,23174182912
CULL,32312196
CULP,157113888
CURI,469153344
CURO,717327936
CUTR,804064768
CUZ,5981796864
CVA,2690043648
CVAC,6644329472
CVBF,2806747904
CVCO,2690983424
CVCY,268026432
CVE,25016502272
CVEO,297435232
CVET,2431966976
CVGI,298234592
CVGW,760407680
CVI,1862839552
CVII,1695675008
CVLG,510936000
CVLT,2973303040
CVLY,228850096
CVM,489509952
CVNA,51270156288
CVR,26278792
CVS,123494268928
CVU,37118960
CVV,36829044
CVX,226026487808
CW,5359219712
CWBC,110758064
CWBR,35837212
CWCO,172631184
CWEN,7391070208
CWH,3782858752
CWK,4256996864
CWST,4504561152
CWT,3268962304
CX,9463383040
CXDO,111374208
CXE,161144208
CXH,90510240
CXP,2200315648
CXW,1388598016
CYAD,61732024
CYAN,21106134
CYBE,338764224
CYBR,7702389248
CYCC,44139048
CYCCP,14222996
CYCN,104892240
CYD,504600032
CYH,1963600384
CYRN,34839836
CYRX,3591250944
CYT,559737600
CYTH,47689312
CYTK,2898219264
CZNC,431514592
CZR,20865728512
CZWI,150262688
D,61247438848
DAC,1456626432
DADA,5664112640
DAIO,43715372
DAKT,235174272
DAL,26644494336
DAN,3506669824
DAO,2086046592
DAR,12562448384
DARE,85622424
DASH,78143414272
DAVA,10144867328
DAWN,1368961280
DB,26344255488
DBD,684060992
DBDR,294081184
DBGI,34608072
DBI,1154230656
DBL,289321920
DBRG,3989807360
DBTX,189616800
DBVT,349399776
DBX,10252703744
DCBO,2429186560
DCF,143047248
DCI,7866016256
DCO,595876544
DCOM,1548996608
DCP,6237346304
DCPH,534432704
DCRN,515954688
DCT,3912140800
DCTH,66545332
DCUE,60611706880
DD,42140327936
DDD,3157512448
DDF,86923248
DDMX,159148640
DDOG,59141693440
DDS,7056193024
DE,112923009024
DEA,1782799872
DECK,11985178624
DEI,6429257728
DELL,43536924672
DEN,4314701824
DENN,957040448
DEO,122000637952
DESP,782308160
DEX,121602672
DFFN,41770452
DFH,1693143424
DFIN,1692000512
DFP,552368576
DFS,35548332032
DG,54381473792
DGICA,439396544
DGICB,412482976
DGII,824534784
DGLY,63181556
DGNS,364180448
DGNU,498993024
DGX,18096314368
DHBC,352411168
DHBCU,365700000
DHC,816067904
